INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET
I182033510,3125,Warrant Arrests,WARRANT ARREST,Roxbury,327,Y,2018-05-04 05:07:00,2018,5,Friday,5,Part Three,WAYLAND ST
I162055022,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,Jamaica Plain,582,N,2016-07-10 11:00:00,2016,7,Sunday,11,Part One,WESTERLY ST
I152073824,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,284,N,2015-09-05 13:53:00,2015,9,Saturday,13,Part Three,MASSACHUSETTS AVE
I172080114,1402,Vandalism,VANDALISM,Mattapan,418,N,2017-09-25 21:43:00,2017,9,Monday,21,Part Two,SELDEN ST
I162047320,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Mattapan,943,N,2016-05-16 18:05:00,2016,5,Monday,18,Part Two,STANDARD ST
I162082854,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,399,N,2016-10-09 08:21:00,2016,10,Sunday,8,Part Three,WASHINGTON ST
I162001446,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,Downtown,111,N,2016-01-06 09:49:00,2016,1,Wednesday,9,Part Three,ESSEX ST
I172028103,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,West Roxbury,552,N,2017-04-11 10:48:00,2017,4,Tuesday,10,Part Three,WASHINGTON ST
I162104636,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South Boston,229,N,2016-12-23 15:30:00,2016,12,Friday,15,Part One,STORY ST
I172053484,3201,Property Lost,PROPERTY - LOST,Hyde Park,480,N,2017-07-03 09:42:00,2017,7,Monday,9,Part Three,GREENFIELD RD
I152102824,3301,Verbal Disputes,VERBAL DISPUTE,Dorchester,358,N,2015-12-13 09:47:00,2015,12,Sunday,9,Part Three,LINDSEY ST
I172093718,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Downtown,63,N,2017-11-09 10:15:00,2017,11,Thursday,10,Part Three,MARTHA RD
I162037973,1402,Vandalism,VANDALISM,Roxbury,325,N,2016-05-15 14:19:00,2016,5,Sunday,14,Part Two,WAYLAND ST
I172042678,3201,Property Lost,PROPERTY - LOST,Brighton,786,N,2017-05-22 17:00:00,2017,5,Monday,17,Part Three,COMMONWEALTH AVE
I182009056,311,Robbery,ROBBERY - COMMERCIAL,Downtown,75,N,2018-02-03 18:45:00,2018,2,Saturday,18,Part One,PORTLAND ST
I172065730,3201,Property Lost,PROPERTY - LOST,Downtown,95,N,2017-08-10 21:00:00,2017,8,Thursday,21,Part Three,ATLANTIC AVE
I172020361,2610,Other,TRESPASSING,East Boston,117,N,2017-03-15 17:29:00,2017,3,Wednesday,17,Part Two,BOYLSTON ST
I162063108,3114,Investigate Property,INVESTIGATE PROPERTY,Downtown,92,N,2016-08-06 15:50:00,2016,8,Saturday,15,Part Three,CITY HALL AVE
I162093303,3008,Medical Assistance,SUICIDE / SUICIDE ATTEMPT,West Roxbury,822,N,2016-11-14 18:40:00,2016,11,Monday,18,Part Three,GEORGETOWNE PL
I172081515,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,East Boston,2,N,2017-09-30 03:38:00,2017,9,Saturday,3,Part One,WALDEMAR AVE
I162097145,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,Dorchester,395,N,2016-11-28 16:55:00,2016,11,Monday,16,Part One,BECKET ST
I172072106,3115,Investigate Person,INVESTIGATE PERSON,Downtown,69,N,2017-08-31 12:27:00,2017,8,Thursday,12,Part Three,CHESTNUT ST
I182059841,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,South Boston, ,N,2018-07-29 12:33:00,2018,7,Sunday,12,Part Three,HOME DEPOT
I182020712,3115,Investigate Person,INVESTIGATE PERSON,South Boston,200,N,2018-05-04 14:15:00,2018,5,Friday,14,Part Three,W BROADWAY
I172057934,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,444,Y,2017-07-17 17:23:00,2017,7,Monday,17,Part One,VESTA RD
I172011533,2905,Violations,VAL - OPERATING WITHOUT LICENSE,Hyde Park,818,N,2017-02-12 08:56:00,2017,2,Sunday,8,Part Two,HARVARD ST
I172097121,3201,Property Lost,PROPERTY - LOST,Hyde Park,520,N,2017-11-21 12:22:00,2017,11,Tuesday,12,Part Three,HYDE PARK AVE
I182008425,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Charlestown,900,N,2018-02-01 11:49:00,2018,2,Thursday,11,Part Three,WALFORD WAY
I162069476,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Jamaica Plain,634,Y,2016-08-27 03:33:00,2016,8,Saturday,3,Part One,CENTRE ST
I172050866,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Jamaica Plain,303,Y,2017-06-25 00:10:00,2017,6,Sunday,0,Part One,BRAGDON ST
I152075403,3008,Medical Assistance,SUICIDE / SUICIDE ATTEMPT,Downtown,83,N,2015-09-11 04:44:00,2015,9,Friday,4,Part Three,CHARTER ST
I152088210,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Charlestown,38,N,2015-10-23 23:50:00,2015,10,Friday,23,Part One,EIGHTH ST
I152058382,3160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",Roxbury, ,N,2015-07-15 07:41:00,2015,7,Wednesday,7,Part Three,MAGNOLIA ST
I162006976,3115,Investigate Person,INVESTIGATE PERSON,West Roxbury,664,N,2016-01-26 17:54:00,2016,1,Tuesday,17,Part Three,LESHER ST
I162066554,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Downtown,70,N,2016-08-17 14:28:00,2016,8,Wednesday,14,Part Three,CHESTNUT ST
I172005070,2616,Other,POSSESSION OF BURGLARIOUS TOOLS,Dorchester,236,N,2017-01-19 18:59:00,2017,1,Thursday,18,Part Two,COLUMBIA RD
I172000631,3201,Property Lost,PROPERTY - LOST,Brighton,802,N,2017-01-03 14:27:00,2017,1,Tuesday,14,Part Three,HARVARD AVE
I162023993,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Dorchester,341,N,2016-03-28 17:00:00,2016,3,Monday,17,Part Two,SPEEDWELL ST
I172000734,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,316,N,2017-01-03 19:36:00,2017,1,Tuesday,19,Part Three,ABBOTSFORD ST
I172008857,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,South End,170,N,2017-02-01 07:21:00,2017,2,Wednesday,7,Part Two,WASHINGTON ST
I162072397,3130,Search Warrants,SEARCH WARRANT,Dorchester,367,N,2016-09-05 16:22:00,2016,9,Monday,16,Part Three,GIBSON ST
I162062387,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,280,N,2016-08-04 07:49:00,2016,8,Thursday,7,Part One,DUDLEY ST
I172096115,3410,Towed,TOWED MOTOR VEHICLE,Charlestown,45,N,2017-11-17 17:31:00,2017,11,Friday,17,Part Three,SACKVILLE ST
I162052988,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,Roxbury,566,N,2016-07-04 08:38:00,2016,7,Monday,8,Part Three,FRANKLIN PARK RD
I172103172,1402,Vandalism,VANDALISM,Mattapan,446,N,2017-12-13 11:49:00,2017,12,Wednesday,11,Part Two,THANE ST
I172084540,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,South Boston, ,N,2017-10-06 16:00:00,2017,10,Friday,16,Part Two,Not Specified
I162098547,617,Larceny,LARCENY THEFT FROM BUILDING,South End,145,N,2016-11-25 16:00:00,2016,11,Friday,16,Part One,SAINT BOTOLPH ST
I182023310,3207,Property Found,PROPERTY - FOUND,West Roxbury,289,N,2018-03-29 09:36:00,2018,3,Thursday,9,Part Three,SCHROEDER PLZ
I182058674,3114,Investigate Property,INVESTIGATE PROPERTY,Charlestown,55,N,2018-07-25 14:44:00,2018,7,Wednesday,14,Part Three,SUMMER ST
I182059024,1402,Vandalism,VANDALISM,West Roxbury,563,N,2018-07-26 10:30:00,2018,7,Thursday,10,Part Two,SOUTH ST
I162091074,3410,Towed,TOWED MOTOR VEHICLE,Charlestown,57,N,2016-11-06 18:30:00,2016,11,Sunday,18,Part Three,WINTHROP ST
I172041934,3115,Investigate Person,INVESTIGATE PERSON,Hyde Park,493,N,2017-05-27 13:15:00,2017,5,Saturday,13,Part Three,RIVER ST
I162091060,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,Roxbury,326,N,2016-11-06 16:56:00,2016,11,Sunday,16,Part Two,BLUE HILL AVE
I172032105,3115,Investigate Person,INVESTIGATE PERSON,South Boston, ,N,2017-04-25 00:47:00,2017,4,Tuesday,0,Part Three,Not Specified
I152056291,2647,Other,THREATS TO DO BODILY HARM,West Roxbury,727,N,2015-07-08 10:29:00,2015,7,Wednesday,10,Part Two,GARDNER ST
I162008916,617,Larceny,LARCENY THEFT FROM BUILDING,Mattapan,469,N,2016-02-01 16:00:00,2016,2,Monday,16,Part One,HIAWATHA RD
I172028004,3115,Investigate Person,INVESTIGATE PERSON,Brighton,794,N,2017-04-10 21:55:00,2017,4,Monday,21,Part Three,GLENVILLE AVE
I152057541,619,Larceny,LARCENY ALL OTHERS,South End,143,N,2015-07-11 23:45:00,2015,7,Saturday,23,Part One,BOYLSTON ST
I162101004,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,605,Y,2016-12-11 16:13:00,2016,12,Sunday,16,Part One,SUNSET ST
I182019907,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,West Roxbury,691,N,2018-03-16 18:32:00,2018,3,Friday,18,Part Two,CENTRE ST
I172095530,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,Roxbury,329,N,2017-11-15 19:36:00,2017,11,Wednesday,19,Part One,BRUNSWICK ST
I182048624,619,Larceny,LARCENY ALL OTHERS,South Boston,177,N,2018-06-21 21:51:00,2018,6,Thursday,21,Part One,SOUTHAMPTON ST
I172024875,3130,Search Warrants,SEARCH WARRANT,Roxbury,909,N,2017-03-31 07:26:00,2017,3,Friday,7,Part Three,CABOT ST
I162069996,1402,Vandalism,VANDALISM,South Boston,186,N,2016-08-28 19:15:00,2016,8,Sunday,19,Part Two,BAKER CT
I182054207,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,294,Y,2018-07-10 13:04:00,2018,7,Tuesday,13,Part One,AKRON ST
I152091152,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,Hyde Park,518,N,2015-11-02 21:45:00,2015,11,Monday,21,Part One,GARFIELD AVE
I152051858,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,Downtown,78,N,2015-06-19 09:55:00,2015,6,Friday,9,Part One,MARSHALL ST
I162064819,1874,Drug Violation,DRUGS - OTHER,Mattapan,472,N,2016-08-12 08:00:00,2016,8,Friday,8,Part Two,ORLANDO ST
I182066651,1107,Fraud,FRAUD - IMPERSONATION,West Roxbury,692,N,2018-08-20 11:00:00,2018,8,Monday,11,Part Two,ALAMEDA RD
I172054790,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),East Boston,25,N,2017-07-07 11:22:00,2017,7,Friday,11,Other,CONDOR ST
I172014254,1845,Drug Violation,DRUGS - POSS CLASS D,Roxbury, ,Y,2017-02-21 17:09:00,2017,2,Tuesday,17,Part Two,Not Specified
I182032335,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,Dorchester,332,N,2018-04-30 13:08:00,2018,4,Monday,13,Part Three,COLUMBIA RD
I152078963,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,Hyde Park,496,N,2015-09-22 15:18:00,2015,9,Tuesday,15,Part Three,HYDE PARK AVE
I172107150,619,Larceny,LARCENY ALL OTHERS,Charlestown,58,N,2017-12-12 08:00:00,2017,12,Tuesday,8,Part One,DUNSTABLE ST
I162102752,3410,Towed,TOWED MOTOR VEHICLE,Roxbury,328,N,2016-12-17 14:27:00,2016,12,Saturday,14,Part Three,CEYLON ST
I162053984,613,Larceny,LARCENY SHOPLIFTING,South End,138,N,2016-07-07 11:22:00,2016,7,Thursday,11,Part One,NEWBURY ST
I162062746,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Mattapan,436,N,2016-08-04 10:30:00,2016,8,Thursday,10,Part Two,EUCLID ST
I182017416,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,East Boston, ,N,2018-03-07 06:58:00,2018,3,Wednesday,6,Part Three,ORIENT AVE
I162011763,3410,Towed,TOWED MOTOR VEHICLE,East Boston,20,N,2016-02-13 15:32:00,2016,2,Saturday,15,Part Three,CHELSEA ST
I162015290,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,Dorchester,347,N,2016-02-26 17:13:00,2016,2,Friday,17,Part One,HECLA ST
I182056821,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Jamaica Plain,302,N,2018-07-18 20:00:00,2018,7,Wednesday,20,Part Three,CENTRE ST
I162045208,3007,Medical Assistance,SUDDEN DEATH,East Boston,28,N,2016-06-08 11:35:00,2016,6,Wednesday,11,Part Three,GOVE ST
I172048210,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,382,N,2017-06-16 12:45:00,2017,6,Friday,12,Part Three,GALLIVAN BLVD
I172009689,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Downtown, ,N,2017-02-05 02:40:00,2017,2,Sunday,2,Part Three,Not Specified
I172052132,3125,Warrant Arrests,WARRANT ARREST,Jamaica Plain,303,N,2017-06-28 19:41:00,2017,6,Wednesday,19,Part Three,W WALNUT PARK
I152068175,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",West Roxbury,664,N,2015-08-17 19:15:00,2015,8,Monday,19,Part Two,WASHINGTON ST
I152103899,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,911,Y,2015-12-17 00:45:00,2015,12,Thursday,0,Part One,PRENTISS ST
I172066510,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,252,N,2017-08-13 14:23:26,2017,8,Sunday,14,Part Three,DENNY ST
I172018628,617,Larceny,LARCENY THEFT FROM BUILDING,Downtown,112,N,2017-03-09 02:32:00,2017,3,Thursday,2,Part One,AVENUE DE LAFAYETTE
I152098830,619,Larceny,LARCENY ALL OTHERS,South End,619,N,2015-11-29 23:50:00,2015,11,Sunday,23,Part One,WESTLAND AVE
I162036718,2610,Other,TRESPASSING,Downtown,124,N,2016-05-07 11:21:00,2016,5,Saturday,11,Part Two,KNEELAND ST
I172080306,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,Dorchester,398,N,2017-09-26 13:11:00,2017,9,Tuesday,13,Part Two,TALBOT AVE
I182067106,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Jamaica Plain,307,N,2018-08-21 22:30:00,2018,8,Tuesday,22,Part Three,WALNUT PARK
I182019630,3125,Warrant Arrests,WARRANT ARREST,South End,170,N,2018-03-15 18:20:00,2018,3,Thursday,18,Part Three,WORCESTER ST
I182016472,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Hyde Park,519,N,2018-03-03 13:30:00,2018,3,Saturday,13,Part Three,DELL TER
I172065002,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,West Roxbury,679,N,2017-08-08 18:20:00,2017,8,Tuesday,18,Part One,BIRCH ST
